                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.1811,                0.75362,                 1.0354,                0.85738,                 0.7883,                0.87216,                0.60822,                 1.0444,                0.56541,                0.98157,               0.006271,               0.006271,               0.006271
                    115,                 1.1799,                0.74872,                 1.0325,                0.85715,                0.78814,                0.87226,                0.60828,                 1.0443,                0.56535,                0.98146,               0.006238,               0.006238,               0.006238
                    116,                 1.1742,                0.74992,                 1.0318,                  0.858,                0.78782,                0.87249,                0.60869,                 1.0439,                0.56486,                0.98133,               0.006205,               0.006205,               0.006205
                    117,                 1.1769,                 0.7494,                 1.0302,                0.85733,                0.78706,                 0.8726,                0.60898,                 1.0436,                0.56447,                0.98117,               0.006172,               0.006172,               0.006172
                    118,                   1.17,                0.74298,                 1.0324,                0.85731,                0.78781,                0.87266,                0.60896,                 1.0435,                0.56428,                0.98123,               0.006139,               0.006139,               0.006139
                    119,                 1.1722,                0.74647,                 1.0344,                 0.8573,                0.78812,                0.87272,                0.60917,                 1.0433,                0.56427,                0.98111,               0.006106,               0.006106,               0.006106
                    120,                 1.1684,                0.75002,                 1.0318,                0.85835,                0.78826,                0.87277,                0.60945,                 1.0435,                0.56401,                0.98108,               0.006073,               0.006073,               0.006073
                    121,                 1.1695,                0.74565,                 1.0324,                0.85683,                0.78876,                0.87263,                0.60966,                 1.0441,                0.56389,                0.98122,                0.00604,                0.00604,                0.00604
                    122,                 1.1654,                0.74076,                 1.0265,                0.85933,                0.78751,                0.87275,                0.60951,                 1.0437,                 0.5639,                0.98103,               0.006007,               0.006007,               0.006007
                    123,                 1.1629,                0.73412,                 1.0258,                0.86155,                0.78718,                0.87294,                0.60984,                 1.0436,                0.56339,                0.98093,               0.005974,               0.005974,               0.005974
                    124,                 1.1614,                0.73939,                 1.0248,                0.85137,                0.79434,                0.87298,                0.61019,                 1.0439,                0.56311,                  0.981,               0.005941,               0.005941,               0.005941
                    125,                 1.1667,                0.74192,                 1.0269,                0.85045,                0.79473,                0.87319,                0.61034,                 1.0435,                 0.5628,                0.98094,               0.005908,               0.005908,               0.005908
                    126,                 1.1614,                0.73483,                 1.0271,                0.85378,                0.79309,                 0.8732,                0.61007,                 1.0428,                0.56234,                 0.9807,               0.005875,               0.005875,               0.005875
                    127,                 1.1634,                0.74185,                 1.0299,                0.85415,                0.79255,                0.87316,                0.61063,                 1.0425,                0.56218,                0.98063,               0.005842,               0.005842,               0.005842
                    128,                 1.1661,                0.74175,                 1.0269,                0.85126,                0.79397,                0.87312,                 0.6107,                 1.0422,                0.56188,                0.98051,               0.005809,               0.005809,               0.005809
                    129,                 1.1667,                0.74015,                 1.0289,                0.85323,                0.79359,                0.87348,                0.61117,                 1.0416,                0.56144,                0.98032,               0.005776,               0.005776,               0.005776
                    130,                 1.1632,                0.74313,                 1.0273,                0.85225,                0.79356,                0.87355,                0.61132,                 1.0411,                0.56147,                0.98019,               0.005743,               0.005743,               0.005743
                    131,                  1.156,                0.73345,                 1.0236,                 0.8529,                0.79337,                0.87396,                0.61189,                 1.0409,                0.56113,                0.98011,                0.00571,                0.00571,                0.00571
                    132,                 1.1508,                0.72856,                  1.022,                0.85362,                0.79411,                0.87395,                0.61178,                 1.0411,                0.56107,                0.98017,               0.005677,               0.005677,               0.005677
                    133,                  1.156,                0.73885,                 1.0225,                0.85515,                0.79294,                0.87399,                0.61174,                 1.0411,                 0.5608,                0.98005,               0.005644,               0.005644,               0.005644
                    134,                 1.1617,                0.73628,                 1.0258,                0.85501,                0.79322,                0.87381,                0.61196,                 1.0412,                0.56078,                0.98005,               0.005611,               0.005611,               0.005611
                    135,                  1.155,                0.73231,                 1.0269,                0.85427,                0.79538,                0.87383,                 0.6123,                 1.0407,                0.56072,                 0.9799,               0.005578,               0.005578,               0.005578
                    136,                 1.1533,                0.72872,                 1.0254,                0.85695,                0.79431,                0.87402,                0.61203,                  1.041,                0.56048,                0.97995,               0.005545,               0.005545,               0.005545
                    137,                 1.1522,                0.72756,                 1.0209,                0.85816,                0.79312,                0.87415,                0.61202,                 1.0414,                0.56022,                0.97995,               0.005512,               0.005512,               0.005512
                    138,                 1.1576,                0.72906,                 1.0248,                0.85587,                0.79533,                0.87416,                0.61204,                 1.0413,                0.56003,                0.97991,               0.005479,               0.005479,               0.005479
                    139,                 1.1515,                0.72759,                  1.023,                 0.8577,                0.79513,                0.87417,                0.61204,                 1.0411,                0.55987,                0.97978,               0.005446,               0.005446,               0.005446
                    140,                 1.1506,                0.72785,                 1.0211,                0.85976,                0.79365,                0.87457,                0.61225,                 1.0407,                0.55949,                0.97956,               0.005413,               0.005413,               0.005413
                    141,                 1.1529,                 0.7316,                 1.0243,                0.86071,                0.79397,                0.87447,                0.61207,                 1.0408,                0.55921,                0.97949,                0.00538,                0.00538,                0.00538
                    142,                 1.1492,                0.73106,                 1.0223,                0.85986,                0.79523,                0.87451,                0.61261,                 1.0409,                0.55881,                 0.9794,               0.005347,               0.005347,               0.005347
                    143,                 1.1507,                0.72703,                 1.0247,                0.86029,                0.79494,                0.87469,                0.61276,                 1.0404,                0.55877,                0.97925,               0.005314,               0.005314,               0.005314
                    144,                  1.142,                0.72164,                 1.0195,                0.86092,                0.79431,                0.87494,                0.61265,                 1.0403,                0.55857,                0.97914,               0.005281,               0.005281,               0.005281
                    145,                 1.1513,                0.72659,                 1.0209,                0.86357,                0.79293,                0.87497,                0.61306,                 1.0402,                0.55827,                0.97897,               0.005248,               0.005248,               0.005248
                    146,                 1.1545,                0.72507,                 1.0237,                0.86339,                0.79287,                0.87492,                0.61307,                 1.0405,                0.55824,                0.97905,               0.005215,               0.005215,               0.005215
                    147,                 1.1422,                0.72129,                 1.0197,                0.86229,                0.79442,                 0.8748,                0.61344,                 1.0399,                0.55799,                 0.9788,               0.005182,               0.005182,               0.005182
                    148,                 1.1528,                  0.726,                 1.0218,                0.86169,                0.79485,                0.87488,                0.61379,                 1.0394,                0.55775,                 0.9786,               0.005149,               0.005149,               0.005149
                    149,                 1.1468,                0.72418,                 1.0189,                0.86023,                 0.7955,                0.87483,                 0.6137,                 1.0393,                0.55725,                0.97854,               0.005116,               0.005116,               0.005116
                    150,                 1.1345,                0.71296,                 1.0159,                0.85976,                0.79538,                0.87476,                0.61391,                 1.0389,                0.55707,                0.97838,               0.005083,               0.005083,               0.005083
                    151,                 1.1414,                0.71864,                 1.0192,                0.85942,                0.79546,                0.87488,                0.61388,                 1.0392,                0.55691,                0.97845,                0.00505,                0.00505,                0.00505
                    152,                 1.1403,                0.71746,                 1.0167,                0.85728,                0.79698,                0.87478,                0.61369,                 1.0395,                 0.5566,                0.97847,               0.005017,               0.005017,               0.005017
                    153,                 1.1409,                0.72015,                 1.0197,                0.85671,                0.79801,                0.87519,                0.61385,                 1.0392,                0.55642,                0.97842,               0.004984,               0.004984,               0.004984
                    154,                 1.1377,                0.71913,                 1.0201,                0.85669,                0.79782,                0.87522,                 0.6136,                 1.0394,                0.55626,                0.97842,               0.004951,               0.004951,               0.004951
                    155,                 1.1367,                0.71881,                 1.0204,                0.85756,                0.79767,                0.87542,                0.61369,                 1.0397,                0.55603,                0.97849,               0.004918,               0.004918,               0.004918
